R03632	-R03632
R01067	-R01067
R01066	-R01066
R01068	-R01068
R02568	-R02568
R01547	-R01547
R00943	-R00943
R11319	-R11319
R01049	-R01049
R05633	-R05633
R05634	-R05634
R00767	-R00767
R01561	-R01561
R02484	-R02484
R00161	-R00161
R00571	-R00571
R10859	-R10859
R02297	-R02297
R02295	-R02295
R00104	-R00104
R05850	-R05850
R02087	-R02087
R03596	-R03596
R00137	-R00137
R07034	-R07034
R07035	-R07035
R01698	-R01698
R01529	-R01529
R00127	-R00127
R01655	-R01655
R02740	-R02740
R02748	-R02748
R00429	-R00429
R00848	-R00848
R00847	-R00847
R00189	-R00189
R08233	-R08233
R08230	-R08230
R08237	-R08237
R11896	-R11896
R00130	-R00130
R00230	-R00230
R02147	-R02147
R01135	-R01135
R01056	-R01056
R00945	-R00945
R00966	-R00966
R00658	-R00658
R00332	-R00332
R01829	-R01829
R03321	-R03321
R00315	-R00315
R01665	-R01665
R04206	-R04206
R01015	-R01015
R01869	-R01869
R01863	-R01863
R01070	-R01070
R06861	-R06861
R06863	-R06863
R01843	-R01843
R00158	-R00158
R00899	-R00899
R02557	-R02557
R00772	-R00772
R00771	-R00771
R00549	-R00549
R03018	-R03018
R01570	-R01570
R08222	-R08222
R02071	-R02071
R09099	-R09099
R00289	-R00289
R09372	-R09372
R08244	-R08244
R08245	-R08245
R08240	-R08240
R02099	-R02099
R02098	-R02098
R02094	-R02094
R02090	-R02090
R03244	-R03244
R02322	-R02322
R09030	-R09030
R01641	-R01641
R06590	-R06590
R04559	-R04559
R01974	-R01974
R10159	-R10159
R01083	-R01083
R01993	-R01993
R01518	-R01518
R01830	-R01830
R01221	-R01221
R01220	-R01220
R01818	-R01818
R01819	-R01819
R01870	-R01870
R04771	-R04771
R00769	-R00769
R00512	-R00512
